,ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Prosody,Morphemes,asjp_forms,asjp_segs
68,Haerbin-Liu-2007-201-94-1,,Haerbin,Liu-2007-201-94,pʰiau⁴⁴ fu²⁴,pʰiau⁴⁴ fu²⁴,pʰ j au ⁴⁴ + f u ²⁴,,Liu2007,,,,,i m n t + i n t,,ph~ y au   f u , au f ph~ u y
69,Jinan-Liu-2007-201-94-1,,Jinan,Liu-2007-201-94,pʰiɔ²¹⁴ fu⁵³,pʰiɔ²¹⁴ fu⁵³,pʰ j ɔ ²¹⁴ + f u ⁵³,,Liu2007,,,,,i m n t + i n t,,ph~ y o   f u , f o ph~ u y
70,Rongcheng-Liu-2007-201-94-1,,Rongcheng,Liu-2007-201-94,pʰiau⁵² fu³⁵,pʰiau⁵² fu³⁵,pʰ j au ⁵² + f u ³⁵,,Liu2007,,,,,i m n t + i n t,,ph~ y au   f u , au f ph~ u y
71,Taiyuan-Liu-2007-201-94-1,,Taiyuan,Liu-2007-201-94,pʰiɑu²¹,pʰiɑu²¹,pʰ j ɑu ²¹,,Liu2007,,,,,i m n t,,ph~ y ou , ou ph~ y
72,XiAn-Liu-2007-201-94-1,,XiAn,Liu-2007-201-94,pʰiau²¹,pʰiau²¹,pʰ j au ²¹,,Liu2007,,,,,i m n t,,ph~ y au , au ph~ y
73,XiAn-Liu-2007-201-94-2,,XiAn,Liu-2007-201-94,fu²⁴,fu²⁴,f u ²⁴,,Liu2007,,,,,i n t,,f u , f u
74,Chengdu-Liu-2007-201-94-1,,Chengdu,Liu-2007-201-94,pʰiau⁴⁵,pʰiau⁴⁵,pʰ j au ⁴⁵,,Liu2007,,,,,i m n t,,ph~ y au , au ph~ y
75,Nanjing-Liu-2007-201-94-1,,Nanjing,Liu-2007-201-94,pʰiɔ³¹ fu¹³,pʰiɔ³¹ fu¹³,pʰ j ɔ ³¹ + f u ¹³,,Liu2007,,,,,i m n t + i n t,,ph~ y o   f u , f o ph~ u y
76,Nanjing-Liu-2007-201-94-2,,Nanjing,Liu-2007-201-94,fu¹³,fu¹³,f u ¹³,,Liu2007,,,,,i n t,,f u , f u
77,Nanjing-Liu-2007-201-94-3,,Nanjing,Liu-2007-201-94,piɔ³¹,piɔ³¹,p j ɔ ³¹,,Liu2007,,,,,i m n t,,p y o , o p y
78,Jixi-Liu-2007-201-94-1,,Jixi,Liu-2007-201-94,fu⁴⁴,fu⁴⁴,f u ⁴⁴,,Liu2007,,,,,i n t,,f u , f u
79,Jixi-Liu-2007-201-94-2,,Jixi,Liu-2007-201-94,pʰie⁵⁵ fu⁴⁴,pʰie⁵⁵ fu⁴⁴,pʰ j e ⁵⁵ + f u ⁴⁴,,Liu2007,,,,,i m n t + i n t,,ph~ y e   f u , e f ph~ u y
80,Suzhou-Liu-2007-201-94-1,,Suzhou,Liu-2007-201-94,tʰən⁵²,tʰən⁵²,tʰ ə n ⁵²,,Liu2007,,,,,i n c t,,th~ 3 n , 3 n th~
81,Wenzhou-Liu-2007-201-94-1,,Wenzhou,Liu-2007-201-94,və³⁴¹,və³⁴¹,v ə ³⁴¹,,Liu2007,,,,,i n t,,v 3 , 3 v
82,Wenzhou-Liu-2007-201-94-2,,Wenzhou,Liu-2007-201-94,taŋ⁵¹,taŋ⁵¹,t a ŋ ⁵¹,,Liu2007,,,,,i n c t,,t a N , N a t
83,Changsha-Liu-2007-201-94-1,,Changsha,Liu-2007-201-94,pʰiau³³ fu⁰,pʰiau³³ fu⁰,pʰ j au ³³ + f u ⁰,,Liu2007,,,,,i m n t + i n t,,ph~ y au   f u , au f ph~ u y
84,Loudi-Liu-2007-201-94-1,,Loudi,Liu-2007-201-94,bɤ¹³,bɤ¹³,b ɤ ¹³,,Liu2007,,,,,i n t,,b o , b o
85,Nanchang-Liu-2007-201-94-1,,Nanchang,Liu-2007-201-94,pʰiɛu⁴²,pʰiɛu⁴²,pʰ j ɛu ⁴²,,Liu2007,,,,,i m n t,,ph~ y Eu , Eu ph~ y
86,Nanchang-Liu-2007-201-94-2,,Nanchang,Liu-2007-201-94,fəu⁴⁵,fəu⁴⁵,f əu ⁴⁵,,Liu2007,,,,,i n t,,f 3u , 3u f
87,Nanchang-Liu-2007-201-94-3,,Nanchang,Liu-2007-201-94,pʰiɛu⁴² fɛu⁴⁵,pʰiɛu⁴² fɛu⁴⁵,pʰ j ɛu ⁴² + f ɛu ⁴⁵,,Liu2007,,,,,i m n t + i n t,,ph~ y Eu   f Eu , Eu f ph~ y
88,Meixian-Liu-2007-201-94-1,,Meixian,Liu-2007-201-94,feu¹¹,feu¹¹,f eu ¹¹,,Liu2007,,,,,i n t,,f eu , eu f
89,Guilin-Liu-2007-201-94-1,,Guilin,Liu-2007-201-94,fu²² tɑu²³⁻³³,fu²² tɑu²³⁻³³,f u ²² + t ɑu ²³,,Liu2007,,,,,i n t + i n t,,f u   t ou , f ou t u
90,Guangzhou-Liu-2007-201-94-1,,Guangzhou,Liu-2007-201-94,pʰiu⁵³ fɐu²¹,pʰiu⁵³ fɐu²¹,pʰ j u ⁵³ + f ɐu ²¹,,Liu2007,,,,,i m n t + i n t,,ph~ y u   f au , au f ph~ u y
91,Fuzhou-Liu-2007-201-94-1,,Fuzhou,Liu-2007-201-94,pʰieu⁵⁵ lɛ³²,pʰieu⁵⁵ lɛ³²,pʰ j eu ⁵⁵ + l ɛ ³²,,Liu2007,,,,,i m n t + i n t,,ph~ y eu   l E , E eu l ph~ y
92,Fuzhou-Liu-2007-201-94-2,,Fuzhou,Liu-2007-201-94,pʰu⁵³ lɛ³²,pʰu⁵³ lɛ³²,pʰ u ⁵³ + l ɛ ³²,,Liu2007,,,,,i n t + i n t,,ph~ u   l E , E l ph~ u
93,Xiamen-Liu-2007-201-94-1,,Xiamen,Liu-2007-201-94,pʰu²⁴,pʰu²⁴,pʰ u ²⁴,,Liu2007,,,,,i n t,,ph~ u , ph~ u
94,Beijing-Liu-2007-201-95-1,,Beijing,Liu-2007-201-95,pʰiŋ³⁵,pʰiŋ³⁵,pʰ i ŋ ³⁵,,Liu2007,,,,,i n c t,,ph~ i N , N i ph~
95,Haerbin-Liu-2007-201-95-1,,Haerbin,Liu-2007-201-95,pʰiŋ²⁴,pʰiŋ²⁴,pʰ i ŋ ²⁴,,Liu2007,,,,,i n c t,,ph~ i N , N i ph~
96,Jinan-Liu-2007-201-95-1,,Jinan,Liu-2007-201-95,pʰiŋ⁵³,pʰiŋ⁵³,pʰ i ŋ ⁵³,,Liu2007,,,,,i n c t,,ph~ i N , N i ph~
97,Rongcheng-Liu-2007-201-95-1,,Rongcheng,Liu-2007-201-95,pʰiŋ³⁵,pʰiŋ³⁵,pʰ i ŋ ³⁵,,Liu2007,,,,,i n c t,,ph~ i N , N i ph~
98,Taiyuan-Liu-2007-201-95-1,,Taiyuan,Liu-2007-201-95,pʰiŋ²¹,pʰiŋ²¹,pʰ i ŋ ²¹,,Liu2007,,,,,i n c t,,ph~ i N , N i ph~
99,XiAn-Liu-2007-201-95-1,,XiAn,Liu-2007-201-95,pʰiŋ²⁴,pʰiŋ²⁴,pʰ i ŋ ²⁴,,Liu2007,,,,,i n c t,,ph~ i N , N i ph~
100,Chengdu-Liu-2007-201-95-1,,Chengdu,Liu-2007-201-95,pʰin²¹,pʰin²¹,pʰ i n ²¹,,Liu2007,,,,,i n c t,,ph~ i n , i n ph~
101,Nanjing-Liu-2007-201-95-1,,Nanjing,Liu-2007-201-95,pʰin¹³,pʰin¹³,pʰ i n ¹³,,Liu2007,,,,,i n c t,,ph~ i n , i n ph~
102,Jixi-Liu-2007-201-95-1,,Jixi,Liu-2007-201-95,pʰiɑ̃⁴⁴,pʰiɑ̃⁴⁴,pʰ j ɑ̃ ⁴⁴,,Liu2007,,,,,i m n t,,ph~ y o* , o* ph~ y
103,Suzhou-Liu-2007-201-95-1,,Suzhou,Liu-2007-201-95,bin¹³,bin¹³,b i n ¹³,,Liu2007,,,,,i n c t,,b i n , b i n
104,Wenzhou-Liu-2007-201-95-1,,Wenzhou,Liu-2007-201-95,beŋ³⁴¹,beŋ³⁴¹,b e ŋ ³⁴¹,,Liu2007,,,,,i n c t,,b e N , N b e
105,Changsha-Liu-2007-201-95-1,,Changsha,Liu-2007-201-95,pin¹³,pin¹³,p i n ¹³,,Liu2007,,,,,i n c t,,p i n , i n p
106,Loudi-Liu-2007-201-95-1,,Loudi,Liu-2007-201-95,pʰiɔ¹³,pʰiɔ¹³,pʰ j ɔ ¹³,,Liu2007,,,,,i m n t,,ph~ y o , o ph~ y
107,Nanchang-Liu-2007-201-95-1,,Nanchang,Liu-2007-201-95,pʰin²⁴,pʰin²⁴,pʰ i n ²⁴,,Liu2007,,,,,i n c t,,ph~ i n , i n ph~
