ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Shexian-9_freeze-1-1,Shexian-9_freeze-1,tʌ̃³²⁴pjʌ̃³¹,776,false,expert,List2014d,,,
Beijing-9_freeze-1-1,Beijing-9_freeze-1,ʨjɛ⁵⁵piŋ⁵⁵,711,false,expert,List2014d,,,
Kunming-9_freeze-1-1,Kunming-9_freeze-1,ʨjɛ³¹pĩ⁴⁴,711,false,expert,List2014d,,,
Shanghai-9_freeze-1-1,Shanghai-9_freeze-1,ʨjɪʔ⁵piŋ⁵³,711,false,expert,List2014d,,,
Meixian-10_blow-1-1,Meixian-10_blow-1,hi³¹fuŋ⁴⁴,833,false,expert,List2014d,,,
Changsha-10_blow-1-1,Changsha-10_blow-1,ʨʰi⁴¹xoŋ³³,833,false,expert,List2014d,,,
Changsha-10_blow-2-1,Changsha-10_blow-2,fa²⁴xoŋ³³,636,false,expert,List2014d,,,
Guixian-10_blow-1-1,Guixian-10_blow-1,ʦʰwejuei⁵⁵foŋ⁵⁵,1136,false,expert,List2014d,,,
Xiamen-10_blow-1-1,Xiamen-10_blow-1,kʰi⁵³hɔŋ⁵⁵,833,false,expert,List2014d,,,
Hefei-10_blow-1-1,Hefei-10_blow-1,ʦʰɿ²⁴fəŋ²¹,833,false,expert,List2014d,,,
Jinan-10_blow-1-1,Jinan-10_blow-1,kwa²¹³fəŋ²¹³,192,false,expert,List2014d,,,
Hangzhou-10_blow-1-1,Hangzhou-10_blow-1,ʨʰi⁵³foŋ³³,833,false,expert,List2014d,,,
Hangzhou-10_blow-2-1,Hangzhou-10_blow-2,kwɑʔ⁵foŋ³³,192,false,expert,List2014d,,,
Guangzhou-10_blow-1-1,Guangzhou-10_blow-1,fan⁵³foŋ⁵³,856,false,expert,List2014d,,,
Guangzhou-10_blow-2-1,Guangzhou-10_blow-2,ta³⁵foŋ⁵³,66,false,expert,List2014d,,,
Nanchang-10_blow-1-1,Nanchang-10_blow-1,ʨʰi²¹³fuŋ⁴²,833,false,expert,List2014d,,,
Chengdu-10_blow-1-1,Chengdu-10_blow-1,kwa³¹foŋ⁵⁵,192,false,expert,List2014d,,,
Chengdu-10_blow-2-1,Chengdu-10_blow-2,ʨʰi⁵³foŋ⁵⁵,833,false,expert,List2014d,,,
Chengdu-10_blow-3-1,Chengdu-10_blow-3,ʦʰwejuei⁵⁵foŋ⁵⁵,1136,false,expert,List2014d,,,
Taiyuan-10_blow-1-1,Taiyuan-10_blow-1,kwaʔ²fəŋ¹¹,192,false,expert,List2014d,,,
Shexian-10_blow-1-1,Shexian-10_blow-1,ʨʰi³⁵fʌ̃³¹,833,false,expert,List2014d,,,
Shexian-10_blow-2-1,Shexian-10_blow-2,fa²¹fʌ̃³¹,636,false,expert,List2014d,,,
Beijing-10_blow-1-1,Beijing-10_blow-1,kwa⁵⁵fəŋ⁵⁵,192,false,expert,List2014d,,,
Kunming-10_blow-1-1,Kunming-10_blow-1,kwᴀ³¹foŋ⁴⁴,192,false,expert,List2014d,,,
Kunming-10_blow-2-1,Kunming-10_blow-2,ʨʰi⁵³foŋ⁴⁴,833,false,expert,List2014d,,,
Shanghai-10_blow-1-1,Shanghai-10_blow-1,ʨʰi³⁵foŋ⁵³,833,false,expert,List2014d,,,
Shanghai-10_blow-2-1,Shanghai-10_blow-2,kwaʔ⁵foŋ⁵³,192,false,expert,List2014d,,,
Meixian-11_rainbow-1-1,Meixian-11_rainbow-1,tʰjen⁴⁴kjuŋ⁴⁴,894,false,expert,List2014d,,,
Changsha-11_rainbow-1-1,Changsha-11_rainbow-1,kan⁵⁵,855,false,expert,List2014d,,,
Guixian-11_rainbow-1-1,Guixian-11_rainbow-1,kaŋ²¹³,855,false,expert,List2014d,,,
Xiamen-11_rainbow-1-1,Xiamen-11_rainbow-1,kʰiŋ²²,855,false,expert,List2014d,,,
Hefei-11_rainbow-1-1,Hefei-11_rainbow-1,ʨjɑ̃⁵³,855,false,expert,List2014d,,,
Jinan-11_rainbow-1-1,Jinan-11_rainbow-1,ʨjaŋ²¹,855,false,expert,List2014d,,,
Hangzhou-11_rainbow-1-1,Hangzhou-11_rainbow-1,hej⁴⁴⁵,809,false,expert,List2014d,,,
Guangzhou-11_rainbow-1-1,Guangzhou-11_rainbow-1,hoŋ²¹,855,false,expert,List2014d,,,
Nanchang-11_rainbow-1-1,Nanchang-11_rainbow-1,kɔŋ⁴⁵,855,false,expert,List2014d,,,
Chengdu-11_rainbow-1-1,Chengdu-11_rainbow-1,xoŋ³¹,855,false,expert,List2014d,,,
Chengdu-11_rainbow-2-1,Chengdu-11_rainbow-2,ʦʰaj⁵³xoŋ³¹,796,false,expert,List2014d,,,
Chengdu-11_rainbow-3-1,Chengdu-11_rainbow-3,tʰjan⁵⁵ʨʰjawiau³¹,131,false,expert,List2014d,,,
Taiyuan-11_rainbow-1-1,Taiyuan-11_rainbow-1,ʨjɒ̃⁵³,855,false,expert,List2014d,,,
Shexian-11_rainbow-1-1,Shexian-11_rainbow-1,ka³²⁴,855,false,expert,List2014d,,,
Shexian-11_rainbow-2-1,Shexian-11_rainbow-2,ʦʰɛ³⁵ka³²⁴,796,false,expert,List2014d,,,
Beijing-11_rainbow-1-1,Beijing-11_rainbow-1,ʨjɑŋ⁵¹,855,false,expert,List2014d,,,
Kunming-11_rainbow-1-1,Kunming-11_rainbow-1,kᴀ̃²¹²,855,false,expert,List2014d,,,
Shanghai-11_rainbow-1-1,Shanghai-11_rainbow-1,hɤ³⁵,458,false,expert,List2014d,,,
Shanghai-11_rainbow-2-1,Shanghai-11_rainbow-2,ʦʰe³⁵ɦoŋ¹³,796,false,expert,List2014d,,,
Meixian-15_thisyear-1-1,Meixian-15_thisyear-1,kin⁴⁴ŋjan¹¹,760,false,expert,List2014d,,,
Changsha-15_thisyear-1-1,Changsha-15_thisyear-1,ʨin³³ȵjẽ¹³,760,false,expert,List2014d,,,
Guixian-15_thisyear-1-1,Guixian-15_thisyear-1,ʨin⁵⁵ljan²¹,760,false,expert,List2014d,,,
Guixian-15_thisyear-2-1,Guixian-15_thisyear-2,ʦen⁵⁵ljan²¹,462,false,expert,List2014d,,,
Xiamen-15_thisyear-1-1,Xiamen-15_thisyear-1,kin⁵⁵ni³⁵,760,false,expert,List2014d,,,
Hefei-15_thisyear-1-1,Hefei-15_thisyear-1,ʨin²¹ljɪ̃⁵⁵,760,false,expert,List2014d,,,
