ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
Tubatulabel-42_hair-1-1,Tubatulabel-42_hair-1,comoo-l,42_hair-1,false,expert,,,,
Tubatulabel-43_head-1-1,Tubatulabel-43_head-1,kupu,43_head-11,false,expert,,,,
Tubatulabel-44_ear-1-1,Tubatulabel-44_ear-1,naŋha-l,44_ear-1,false,expert,,,,
Tubatulabel-45_eye-1-1,Tubatulabel-45_eye-1,punʒi-l,45_eye-1,false,expert,,,,
Tubatulabel-46_nose-1-1,Tubatulabel-46_nose-1,mupi-t,46_nose-1,false,expert,,,,
Tubatulabel-47_mouth-1-1,Tubatulabel-47_mouth-1,toʔogo,47_mouth-2,false,expert,,,,
Tubatulabel-48_tooth-1-1,Tubatulabel-48_tooth-1,taman-t,48_tooth-1,false,expert,,,,
Tubatulabel-49_tongue-1-1,Tubatulabel-49_tongue-1,lalan-t,49_tongue-2,false,expert,,,,
Tubatulabel-50_clawnail-1-1,Tubatulabel-50_clawnail-1,šulun-t,50_clawnail-5,false,expert,,,,
Tubatulabel-51_foot-1-1,Tubatulabel-51_foot-1,ɨŋgɨ-l,51_foot-12,false,expert,,,,
Tubatulabel-52_knee-1-1,Tubatulabel-52_knee-1,toŋoo-l,52_knee-1,false,expert,,,,
Tubatulabel-53_hand-1-1,Tubatulabel-53_hand-1,maa-l,53_hand-1,false,expert,,,,
Tubatulabel-54_arm-1-1,Tubatulabel-54_arm-1,matson,54_arm-2,false,expert,,,,
Tubatulabel-54_arm-2-1,Tubatulabel-54_arm-2,madzan,54_arm-2,false,expert,,,,
Tubatulabel-55_rope-1-1,Tubatulabel-55_rope-1,yuuwi-l,55_rope-13,false,expert,,,,
Tubatulabel-56_belly-1-1,Tubatulabel-56_belly-1,šapuš-t,56_belly-3,false,expert,,,,
Tubatulabel-57_navelbellybutton-1-1,Tubatulabel-57_navelbellybutton-1,šiiduluš-t,57_navelbellybutton-4,false,expert,,,,
Tubatulabel-58_neck-1-1,Tubatulabel-58_neck-1,kulaa-n,58_neck-1,false,expert,,,,
Tubatulabel-59_breast-1-1,Tubatulabel-59_breast-1,pii-l,59_breast-1,false,expert,,,,
Tubatulabel-60_heart-1-1,Tubatulabel-60_heart-1,šuuna-l,60_heart-2,false,expert,,,,
Tubatulabel-61_liver-1-1,Tubatulabel-61_liver-1,nɨɨma-l,61_liver-1,false,expert,,,,
Tubatulabel-62_drink-1-1,Tubatulabel-62_drink-1,iiʔɨɨ,62_drink-2,false,expert,,,,
Tubatulabel-62_drink-2-1,Tubatulabel-62_drink-2,iiʔ-ɨt,62_drink-2,false,expert,,,,
Tubatulabel-63_eat-1-1,Tubatulabel-63_eat-1,tɨk,,false,expert,,,,
Tubatulabel-63_eat-2-1,Tubatulabel-63_eat-2,ɨtɨk,,false,expert,,,,
Tubatulabel-64_bite-1-1,Tubatulabel-64_bite-1,kɨiʔ-ɨt,,false,expert,,,,
Tubatulabel-64_bite-2-1,Tubatulabel-64_bite-2,ɨɨgɨ,,false,expert,,,,
